Name,Address,Zipcode,Phone,Email,Latitude,Longitude,city,country,email
Thiers2Wielers,Karnemelksloot 77,2806 BC,+31 182513520,,52.0100384,4.718186,Gouda,Netherlands,info@thiers2wielers.nl
Bruinewoud rijwielen,Tooropstraat 3,6521 NH,+31 243221771,,51.837328,5.8772413,Nijmegen,Netherlands,basbruinewoud@live.nl
H & B Tweewielers,Herenstraat 82-86,2313 AM,+31 715122988,,52.1508905,4.4887749,Leiden,Netherlands,henb-tweewielers@hetnet.nl
Jansen Cronje bv.,Generaal Cronjestraat 160,2021 JN,+31 235256125,,52.3962215,4.642869,Haarlem,Netherlands,mail@jansencronje.nl
Bike Emotion,Chaussee de Drogenbos 210,1180,+32 23764182,,50.7873987,4.329207,Brussel-Ukkel,Belgium,store@bikeemotion.be
Excellerbikes bvba,Philipstockstraat 43,8000,+32 50706812,,51.2096079,3.2269572,Brugge,Belgium,ride@excellerbikes.com
Fietsenwinkel Ten Tusscher B.V,Oldenzaalsestraat 340,7523 AJ,+31 534358219,,52.232057,6.9045482,Enschede,Netherlands,marcel@tentusscher.nl
Vanneuville Wielersport Bvba,Albert 1 laan 107,8670,+32 58517105,,51.133171,2.6744869,Oostduinkerke,Belgium,info@vanneuvillewielersport.be
Kemper Fietsen,Waldeck Pyrmontkade 454,2518 KG,+31 703459696,,52.0803185,4.2902431,Den Haag,Netherlands,info@kemperfietsen.nl
Van Wijk fiets en onderhoud,Willemsparkweg 181,1071 HA,+31 206622380,,52.3557924,4.8702815,Amsterdam,Netherlands,fietsenonderhoud@gmail.com
Velofixer Beurs,Anspachlaan 157,1000,+32 23190220,,50.8473014,4.3492543,Brussels,Belgium,info@velofixer.com
SRL SAITTA,Avenue de la Plante,5000,+32 81220314,,50.4556138,4.8620449,Namur,Belgium,info@saitta.be
Daan fietsen & toebehoren,Brusselsesteenweg 232,9280,+32 52415882,,50.9871675,4.1373531,Lebbeke,Belgium,daanfietsen@gmail.com
Het Zandrijwielen,Everjachtstraat 53,5042wg,+31 135900015,,51.5730462,5.0473955,Tilburg,Netherlands,info@hetzandrijwielen.nl
Fietsen De Geus BV,Marnixplaats 4,2000,+32 32381712,,51.2109373,4.3975019,Antwerpen,Belgium,antwerpen@fietsendegeus.be
Gino Carts & Bikes,Frere-Orbanstraat 46,8400,+32 59438164,,51.2206103,2.910281,Oostende,Belgium,info@ginocarts.be
KM10,10 avenue. de la Foresterie,1170,+32 26726610,,50.7918073,4.4200345,Watermael Boitsfort,Belgium,km10@km10.be
Fudges CycleStore Paddington,564-566 Harrow Road Paddington,W9 3QH,+44 2089695991,,51.5262205,-0.2050952,London,United Kingdom,paddington@fudgescyclestore.com
Balfe’s Bikes,"Unit 2 Camino Park ,James Watt Way",RH10 9TZ,+44 2077324170,,51.46220694,-0.069583495,Crawley,United Kingdom,hello@balfesbikes.co.uk
Electric & Folding Bikes Northwest,4810 17th NW,WA 98107,+1 2065474621,,47.6640825,-122.3785976,Seattle,United States,info@ebikesnw.com
Velonaut,Rommelaerelaan 49,1020,+32 24780901,,50.8892912,4.3345658,Brussels-Laken,Belgium,info@velonaut.be
Mountain Mania Cycles Didcot / Tring,62 Wantage Road,OX11 0BY,+44 1235759366,,51.6053707,-1.2572383,Didcot,United Kingdom,sales@mountainmaniacycles.co.uk
Freedom Folding Bikes,3119 28th Street,80301,+1 7205883653,,40.0313939,-105.2585489,Boulder ,United States,cwankeny@gmail.com
Sztrato Kft,Vázsonyi út 3,8230,+36 209357700,,46.9599086,17.8623909,Balatonfüred,Hungary,process@brompton.hu
NYC Velo - Hell's Kitchen,66 2nd Avenue,10003,+1 2125827949,,40.7625524,-73.9967367,New York,United States,andrew@nycvelo.com
Arriving By Bike LLC,2705 Williamette Street,97405,+1 5414845410,,44.0276355,-123.0911269,Eugene,United States,brompton@arrivingbybike.com
Comrade Cycles LLC,1908 West Chicago Ave,60622,+1 7732922522,,41.896221,-87.67504,Chicago,United States,brompton@comradecycles.com
Leisure Lakes Bikes - Daventry,"Abbey Retail Park, South Way",NN11 4GL,+44 1327317158,,52.25529,-1.15429,Daventry,United Kingdom,sales@leisurelakesbikes.com
Leisure Lakes Bikes - Lancaster,103 Penny Street,LA1 1XN,+44 1524844389,,54.0452775,-2.8015285,Lancaster,United Kingdom,sales@leisurelakesbikes.com
Leisure Lakes Bikes - Nottingham,168 Wilsthorpe Road,DE72 3AG,+44 1332872947,,52.8976567,-1.3069674,Breaston,United Kingdom,sales@leisurelakesbikes.com
Rijwielshop Zwaan Rotterdam B.V.,Weena 703 - 707,3013 AM,+31 104126220,,51.9228324,4.4680428,Rotterdam,Netherlands,dave@czwaan.nl
Southdowns Bikes - Goring,301 Goring Road,BN12 4NX,+44 1903244644,,50.8120551,-0.4214397,Worthing,United Kingdom,online@southdownsbikes.com
Berkshire Cycle Co. - WOODLEY STORE,186 Loddon Bridge Road,RG5 4BS,+44 1189695776,,51.4470972,-0.8982078,Reading,United Kingdom,sales.woodley@berkshirebikes.co.uk
La Roue Libre S.A.,Rue de Herve 83,4651,+32 87679095,,50.6465475,5.8104938,Battice,Belgium,infos@larouelibre.be
Jupiter Fiets & Fitness bv,Plantin en Moretuslei 30,2018,+32 32306721,,51.2103306,4.419827,Antwerpen,Belgium,info@jupiternv.be
Zutphen - Profile Bleumink,Spittaalstraat 34,7201 EE,+31 575519526,,52.142736,6.1960584,Zutphen,Netherlands,zutphen@profilebleumink.nl
Fietsen Godefroot,Xavier De Cocklaan 36,9831,+32 92825496,,50.9999539,3.6120966,Sint Martens Latem,Belgium,peter@fietsengodefroot.be
Peerenboom Fietsen,Lawickse Allee 5,6701 AN,+31 317412103,,51.968585,5.6646475,Wageningen,Netherlands,info@peerenboomfietsen.nl
East St T/as HOOPS Walton,Seven Stars House,GU9 7TP,+44 1252723888,,51.2171137,-0.7954223,Farnham,United Kingdom,walton@eaststcycles.com
Lobikes,Antwerpsesteenweg 58,9080,+32 93917751,,51.090865,3.8150612,Lochristi,Belgium,info@lobikes.be
Esports Mariné S.C.P.,Ps/ Sant Joan Baptista la Salle 15,43850,+34 977361739,,41.0699,1.0556,Cambrils,Spain,marinebicicletes@hotmail.es
J E James Cycles Sheffield,347 - 361 Bramall Lane,S2 4RN,+44 1142923103,,53.3668941,-1.4708194,Sheffield,United Kingdom,sheffield@jejamescycles.com
CYKLOSPECIALITY - PRAHA,Nuselska 35,140 00,537 021 012,,50.062435,14.4450658,Praha 4,Czech Republic,
CYKLOSPECIALITY - BRNO,Vaclavska 4,603 00,+420 537 021 012,,49.1887737,16.5975934,Brno,Czech Republic,
CYKLOSPECIALITY - BRATISLAVA,Odborarske namestie 1,-,0948 975 175,,48.1513768,17.1191125,Bratislava,Czech Republic,
Armaroli,Via Mazzini 59/2,40137,+39 3285372299,,44.4873986,11.3642437,Bologna,Italy,info@armaroli.bike
FLORENCE BY BIKE,Via San Zanobi 54r,50129,+39 055488992,,43.77945,11.25567,Firenze,Italy,info@florencebybike.it
Collalti Bici,Via del Pellegrino 82,186,+39 0668801084,,41.89699,12.47019,Roma,Italy,collaltibici@libero.it
The Bike Shed Outta Town,"Honiton Road, Sowton Industrial estate",EX1 3RU,+44 1392927925,,51.0781599,-4.058338,Exeter,United Kingdom,ex1@bikesheduk.com
The Bike Shed Exeter,163 Fore Street,EX4 3AT,+44 1392426191,,50.718412,-3.533899,Exeter,United Kingdom,web@bikesheduk.com
Ebikes Hawaii - Honolulu,3318 Campbell Ave,96815,+1 8087841055,,21.2773896,-157.8131878,Honolulu,United States,johnebikeshawaii@gmail.com
East St Cycles Walton,12-14 Brassey House,KT12 1QD,+44 1932221424,,51.38441037,-0.419127345,Walton-On-Thames,United Kingdom,walton@eaststcycles.com
Becykel - Ciclismo Urbano,1194 Avenida Italia,7501297,+56 985003377,,-33.445755,-70.625131,Santiago,Chile,info@becykel.cl
Hargroves Cycles - Chichester,106-108 The Hornet,PO19 7JR,+44 1243537337,,50.83761,-0.774936,Chichester,United Kingdom,chimanager@hargrovescycles.co.uk
Fudges CycleStore Epsom,21-23 Upper High Street,KT17 4QY,+44 1372744116,,51.3343362,-0.2625914,Epsom,United Kingdom,epsom@fudgescyclestore.com
Fietspaleis,Nieuwstraat 8,9100,+32 37761645,,51.1630676,4.1381444,Sint-Niklaas,Belgium,fietspaleis@icloud.com
Cycle Heaven York Station,"York Railway Station, Station Road",YO24 1AY,01904 636578,,53.9576762,-1.0925836,York,United Kingdom,yorkstation@cycle-heaven.co.uk
Firth & Wilson Transport Cycles,1315 North Howard St,19122,+1 2154254672,,39.970941,-75.13649,Philadelphia,United States,info@transportcycle.com
Balfe's Bikes - Streatham Hill,87 Streatham Hill,SW2 4UB,+44 2086711984,,51.43917,-0.12591,London,United Kingdom,streatham@balfesbikes.co.uk
Byman Cykler,Øster Farimagsgade 32,2100,+45 35425156,,55.691656,12.5766201,Copenhagen,Denmark,dan@byman.dk
BromiBike Kft,Vázsonyi út 3,8230,+36 209357700,,46.9600116,17.8618433,Balatonfured,Hungary,info@brompton.hu
Het Verzet Bvba,Nieuwstraat 41,9800,+32 93802720,,50.983395,3.5631622,Deinze,Belgium,info@hetverzet.be
LIFE with BICYCLE Daikanyama,東京都渋谷区恵比寿西1－31－12 FLEG代官山1Ｆ,150-0021,03-4283-1117,,35.647785,139.704912,Tokyo,Japan,shop@lb-daikanyama.jp
Les Cyclistes Branchés,47 av de Versailles,75016,+33 980856204,,48.8484275,2.275097,Paris,France,contact@les-cyclistes-branches.com
Cyclable Paris 10 Les petits vélos,50 Quai de Jemmapes,75010,+33 148048491,,48.8701313,2.3668549,Paris,France,paris10@cyclable.com
Cyclable Paris 12,120 Boulevard Diderot,75012,+33 972457801,,48.8471937,2.3874185,Paris,France,paris12@cyclable.com
Cyclable Paris 19,68 Avenue Jean Jaurès,75019,+33 984099342,,48.8843611,2.3768988,Paris,France,paris19@cyclable.com
L’échappée Belle,71 rue de nanterre,92600,+33 171047830,,48.910291,2.287601,Asnieres,France,contact@lechappeebelle.bike
Cyclable Clermont Ferrand,76 boulevard François Mitterrand,63000,+33 983335570,,45.771479,3.0844969,Clermont-Ferrand,France,clermont-fd@cyclable.com
Cyclable Orléans,12 Rue Royale,45000,+33 238427628,,47.8986932,1.9044397,Orleans,France,orleans@cyclable.com
Cyclable Tours Tours'N Cycles,20 Rue Gambetta,37000,+33 247611893,,47.391902,0.6865832,Tours,France,tours@cyclable.com
Cyclable Nantes,25 Quai de Versailles,44000,+33 972631071,,47.2242977,-1.5539021,Nantes,France,nantes@cyclable.com
Cyclable Rennes Montgermont,Boulevard d'Emeraude,35760,+33 299452673,,48.15605,-1.70828,Montgermont,France,rennes@cyclable.com
Cyclable La Rochelle,8 bis Rue Sénac de Meilhan,17000,+33 983081725,,46.1530478,-1.1527128,La Rochelle,France,larochelle@cyclable.com
Cyclable Rouen (ex Cycles Pierre et Simon),16 bis Rue Alsace Lorraine,76000,+33 984222958,,49.4389384,1.0984701,Rouen,France,rouen@cyclable.com
Cyclable Lille,11-13 Rue des Arts,59800,+33 320741758,,50.6381277,3.066565,Lille,France,lille@cyclable.com
Cyclable Dijon,26 Avenue du Drapeau,21000,+33 380732303,,47.33169,5.04417,Dijon,France,dijon@cyclable.com
Cyclable Annecy Marvin bike,6 Rue de Bonlieu,74000,+33 456739771,,45.9033723,6.1286198,Annecy,France,annecy@cyclable.com
Cyclable Lyon 4,12 Rue du Mail,69004,+33 981294418,,45.7769988,4.8332256,LYON,France,lyon04@cyclable.com
Cyclable Grenoble,83 rue Mallifaud,38100,+33 456854346,,45.1811245,5.7263339,GRENOBLE,France,grenoble@cyclable.com
Lyon Cycle Chic,74 rue Salomon Reinach,69007,+33 472703461,,45.7494956,4.8440196,Lyon,France,info@lyoncyclechic.com
Velonaute Lyon sarl,35 rue Tronchet,69006,+33 437488917,,45.7699202,4.847346,Lyon,France,tetedor@velonaute.com
Cyclable Castelnau,3 Place Charles de Gaulle,34170,+33 467100777,,43.6160108,3.8755907,Castelnau-le-Lez,France,montpellier@cyclable.com
Esprit Cycles Bordeaux,27 rue Docteur Charles Nancel Penard,33000,+33 556587834,,44.8394409,-0.58155,Bordeaux,France,ec.bordeaux@gmail.com
Just Ride LA,1626 S. Hill Street,90015,+1 2137456783,,34.0340409,-118.2647776,Los Angeles,United States,info@justridela.com
The Bicycle Planet,340 Robbins Lane,11791,+1 5163644434,,40.79766,-73.51577,Syosset,United States,info@thebicycleplanet.com
Cosmic Bikes Inc.,4641 N. Milwaukee Ave.,60630,+1 7739304076,,41.96511,-87.75804,Chicago,United States,hello@cosmicbikes.com
Cycle Junxion,299 North End Road,W14 9NS,+44 2034757778,,51.4859407,-0.2025735,London,United Kingdom,sales@cyclejunxion.co.uk
